run_id,generation,best_fitness,avg_fitness,cumulative_ul_nfe,cumulative_ll_nfe
1,0,3.171696603044616,76.46020348858798,51,13230
1,1,1.7265591104625189,22.030836733576702,103,13860
1,2,1.187087283485361,10.067756112626627,156,14490
1,3,0.5500861133701672,3.483835476492088,210,15120
1,4,0.24262068458165517,2.9408993923432623,265,15750
1,5,0.11666379909961715,1.7716409970130311,321,16380
1,6,0.053283408167079535,4.982331734858409,378,17010
1,7,0.053283408167079535,2.6689983755189095,436,17640
1,8,0.04056302389664076,0.32127948357660846,495,18270
1,9,0.03261169797384277,0.5594749817299123,555,18900
1,10,0.030748443609365603,1.1693688196029954,616,19530
1,11,0.030748443609365603,0.309075568697112,678,20160
1,12,0.030748443609365603,0.28797864774644766,741,20790
1,13,0.030748443609365603,0.2920622841033211,805,21420
1,14,0.030748443609365603,0.1353624544242481,870,22050
1,15,0.030748443609365603,0.18721888775082046,936,22680
1,16,0.030748443609365603,0.1130462090527383,1003,23310
1,17,0.030748443609365603,0.08551924847624406,1071,23940
1,18,0.030748443609365603,0.09955046185214998,1140,24570
1,19,0.030748443609365603,0.08168485063235971,1210,25200
1,20,0.030748443609365603,0.07169081696501256,1281,25830
1,21,0.030748443609365603,0.10744456962723367,1353,26460
1,22,0.030748443609365603,0.07360778358836496,1426,27090
1,23,0.030748443609365603,0.09771862117964984,1500,27720
1,24,0.030748443609365603,0.11751849641077647,1575,28350
1,25,0.030748443609365603,0.07075899459010772,1651,28980
1,26,0.0276105742779678,0.043298201311563825,1728,29610
1,27,0.0276105742779678,0.03449505015164511,1806,30240
1,28,0.0276105742779678,0.050180193982192055,1885,30870
1,29,0.0276105742779678,0.03807940045127259,1965,31500
1,30,0.0276105742779678,0.050708848663679196,2046,32130
1,31,0.021221885470879304,0.029158476742188588,2128,32760
1,32,0.021221885470879304,0.023806109090582957,2211,33390
1,33,0.021221885470879304,0.020076236857403885,2295,34020
1,34,0.008169926332413539,0.012833325466876135,2380,34650
1,35,0.008169926332413539,0.01126018991454544,2466,35280
1,36,0.008169926332413539,0.008986140469030901,2553,35910
1,37,0.008169926332413539,0.009219003842475738,2641,36540
1,38,0.008169926332413539,0.011320086202961875,2730,37170
1,39,0.008169926332413539,0.007840552680592328,2820,37800
1,40,0.008169926332413539,0.010186004858067735,2911,38430
1,41,0.008169926332413539,0.007369133730856403,3003,39060
1,42,0.008169926332413539,0.007620180184620611,3096,39690
1,43,0.0017618735014079795,0.0029797001577046263,3190,40320
1,44,0.0017618735014079795,0.003486553719970312,3285,40950
1,45,0.0017618735014079795,0.01706799524757273,3381,41580
1,46,0.0017618735014079795,0.002301125162927139,3478,42210
1,47,0.0017618735014079795,0.005556716811187453,3576,42840
1,48,0.0017618735014079795,0.002462037239034355,3675,43470
1,49,0.0017618735014079795,0.0019065914333010105,3775,44100
