run_id,generation,best_fitness,avg_fitness,cumulative_ul_nfe,cumulative_ll_nfe
1,0,1.621701853321568,100,100,66300
1,1,-99.26992526880113,200,200,66300
1,2,-150.34447853644832,300,300,66300
1,3,-150.34447853644832,400,400,66300
1,4,-150.34447853644832,500,500,66300
1,5,-150.34447853644832,600,600,67600
1,6,-150.34447853644832,700,700,67600
1,7,-150.34447853644832,800,800,67600
1,8,-150.34447853644832,900,900,67600
1,9,-150.34447853644832,1000,1000,67600
1,10,-150.34447853644832,1100,1100,68900
1,11,-162.72422469322788,1200,1200,68900
1,12,-165.16995480336158,1300,1300,68900
1,13,-131.50175875101667,1400,1400,68900
1,14,-164.97140882387936,1500,1500,68900
1,15,-164.97140882387936,1600,1600,70200
1,16,-164.97140882387936,1700,1700,70200
1,17,-164.97140882387936,1800,1800,70200
1,18,-164.97140882387936,1900,1900,70200
1,19,-164.97140882387936,2000,2000,70200
1,20,-164.97140882387936,2100,2100,71500
1,21,-164.97140882387936,2200,2200,71500
1,22,-164.97140882387936,2300,2300,71500
1,23,-164.97140882387936,2400,2400,71500
1,24,-164.97140882387936,2500,2500,71500
1,25,-164.97140882387936,2600,2600,72800
1,26,-164.97140882387936,2700,2700,72800
1,27,-164.97140882387936,2800,2800,72800
1,28,-164.97140882387936,2900,2900,72800
1,29,-164.97140882387936,3000,3000,72800
1,30,-164.97140882387936,3100,3100,74100
1,31,-164.97140882387936,3200,3200,74100
1,32,-164.97140882387936,3300,3300,74100
1,33,-164.97140882387936,3400,3400,74100
1,34,-164.97140882387936,3500,3500,74100
1,35,-164.97140882387936,3600,3600,75400
1,36,-164.97140882387936,3700,3700,75400
1,37,-164.97140882387936,3800,3800,75400
1,38,-164.97140882387936,3900,3900,75400
1,39,-164.97140882387936,4000,4000,75400
1,40,-164.97140882387936,4100,4100,76700
1,41,-164.97140882387936,4200,4200,76700
1,42,-164.97140882387936,4300,4300,76700
1,43,-164.97140882387936,4400,4400,76700
1,44,-164.97140882387936,4500,4500,76700
1,45,-164.97140882387936,4600,4600,78000
1,46,-164.97140882387936,4700,4700,78000
1,47,-164.97140882387936,4800,4800,78000
1,48,-164.97140882387936,4900,4900,78000
1,49,-164.97140882387936,5000,5000,78000
